net,length_um
net9,926.04
net394,916.2
net233,874.69
_08749_,867.98
net201,855.56
net50,852.08
net328,841.34
net358,839.66
net430,835.62
net199,831.16
net205,826.5
net390,822.465
net6,821.17
net173,815.78
net259,809.18
net294,804.68
net122,801.86
net505,794.36
net158,785.46
net296,782.8
net471,771.38
net469,769.53
net389,758.44
net375,755.86
net106,754.07
net237,753
net397,747.46
net401,741.46
net196,738.06
net497,734.32
net265,732.6
net131,730.8
net123,729.18
net251,721.645
net326,721.01
net3,720.77
clknet_0_clk,719.86
net476,719.42
net69,718.28
net413,717.43
net532,715.12
net243,714.79
net70,713.28
net299,710.92
net482,709.4
net496,708.88
net407,705.44
net428,704.96
net18,703.76
net154,699.1
net412,697.39
net254,694.8
net12,683.96
net417,677.74
net472,677.4
net15,677.27
net148,676.42
net101,673.9
net485,672.78
net438,670.76
net322,669.68
net399,667.59
net406,666.78
net14,663.4
net20,659.28
net366,658.6
net426,658.14
net58,654.5
net129,646.86
net179,646.76
net117,646.58
net418,646.48
net239,644.88
net261,644.4
net272,644.14
net333,642.52
net531,642.4
net13,639.92
net45,635.78
net510,633.94
net436,633.47
_01749_,628.86
net520,628.64
net451,627.3
net165,627.02
net355,622.6
net330,620.18
net372,619.96
net303,618.84
_02116_,617.91
net225,615.75
net64,613.98
net494,613.68
net248,613.2
net512,611.44
net528,611.22
net169,610.08
net308,608.7
net518,607.32
net137,606.98
_01936_,604.71
net197,604.56
net387,604
net464,603.06
net27,602.66
net525,596.42
net61,595.57
net449,591.24
net187,590.62
net368,588.915
net7,587.235
net282,586.42
net93,585.63
net493,585.2
net60,584.58
net217,580.16
net111,577.15
net121,577.14
net54,574.23
net33,573.28
net311,572.7
net500,572.26
clk,572.2
net104,571
net316,559.46
net378,558.64
net415,557.41
net28,556.36
net138,554.76
net475,554.36
net357,553.8
net289,553.74
net150,553.59
net455,550.18
net421,549.1
net163,549.02
net521,548.61
net68,548.1
net321,545.98
net484,544.8
net4,544.7
net8,544.3
net349,543.28
net125,539.46
net172,539.38
net481,539.3
net232,538.28
net458,537.96
net409,534.98
net441,534.29
net227,533.88
net442,531.58
_02127_,530.99
net286,530.58
net128,530
net530,529.98
net258,528.92
_02159_,527.53
net184,526.6
net439,526.36
net454,524.5
net90,523.06
net337,519.97
net79,519.65
net226,519.49
net456,519.06
net195,516.4
net164,515.18
net65,515.04
net459,513.19
net24,512.86
net149,512.28
net345,511.78
net144,506.89
_03571_,506.74
net364,506.18
net444,504.39
net431,504.34
net127,501.98
net133,500.86
net91,500.6
net388,500.18
net293,500.06
net506,498.1
net566,496.43
net270,494.44
net189,494.18
net380,490.88
net274,490.69
net453,489.3
net31,486.78
net425,484.2
net522,483.815
net324,482.6
net515,482.58
net85,481.08
net167,479.53
net385,477.69
net55,477.36
net332,477.24
net391,477.04
net533,476.62
net11,475.98
net109,475.46
net146,475.3
net377,475.12
net29,474.94
net273,473.91
net343,473.46
net374,469.715
net463,468.66
net209,466.54
net222,466.14
net21,464.78
net16,463.54
net220,462.88
net17,462.48
net52,462.22
net170,460.08
net204,459.92
net461,459.76
net116,458.56
net193,458.38
net526,457.26
net400,456.94
_01758_,455.2
net26,454.66
net320,453.58
net23,452.92
_02110_,452.09
net190,450.82
net516,450.48
net37,449.44
net35,449.25
net247,449.08
net145,448.68
net207,447.76
_02119_,447.65
net171,447.24
net213,446.68
net186,446.52
net44,445.2
net479,445.14
_02134_,444.54
net450,444.04
net177,443.94
net192,443.78
net319,443.32
net132,442.84
net267,442.12
net432,442.02
net305,440.8
net124,435.36
net335,434.7
net280,433.66
_02128_,433.45
net346,433.25
net411,432.66
net99,431.58
net504,431.32
net161,429.4
net223,429.3
_02129_,428.46
net344,428
net307,426.8
net38,426.42
net410,426.26
net96,425.38
net266,424.62
net313,423.68
net317,423.64
net77,421.42
net310,420.26
net465,418.85
net443,417.785
net5,416.38
net352,416.36
net362,415.74
net304,413.88
_02137_,413.77
net356,413.72
net440,412.64
net392,412.02
_02148_,411.87
net97,411.7
net174,411.6
net269,411.02
net376,410.58
net66,410.4
net80,408.88
_02138_,406.94
net309,405.52
net285,405.1
net419,405.08
net34,404
net22,403.17
net59,401.5
net434,401.26
net143,400.82
clknet_4_4__leaf_clk,400.53
net198,397.86
net25,397.55
net278,395.525
net249,394.68
net264,394.28
net136,393
net88,392.62
net182,392.32
net236,392.22
net340,391.75
net53,390.14
net41,389.02
clknet_4_3__leaf_clk,387.54
_05155_,386.97
net176,386.835
net108,386.77
clknet_4_15__leaf_clk,386.43
net279,385.8
net49,385.72
net547,385.2
net297,384.98
net245,383.64
net208,383.44
net283,381.9
net36,381.8
net470,379.58
_02102_,379.08
net240,375.44
net524,374.6
_00829_,374.49
_06745_,373.045
net126,372.78
net183,372.46
net48,369.92
net216,369.76
net561,369.71
net342,368
net244,367.82
net139,367.66
net474,366.98
net89,366.02
net288,365.4
net166,364.8
_02179_,362.34
net112,361.82
net57,361.24
net135,360.08
net1,358.56
net153,358
net448,357.32
_02149_,357.02
net62,355.74
net351,354.36
net242,353.38
net301,352.25
net354,351.64
net56,351.61
net513,351.46
net483,350.91
net347,350.135
net215,349.98
clknet_4_7__leaf_clk,349.3
net46,349.28
net218,346.58
net118,345.32
clknet_4_2__leaf_clk,343.83
net81,343.66
net76,343.44
net336,343.38
_02173_,342
net82,340.6
net103,340.44
_02113_,338.54
net83,336.32
net107,335.27
net519,335.18
net94,334.72
net359,334.66
clknet_4_12__leaf_clk,333.42
net92,333.28
net156,332.86
_00579_,331.8
net67,331.48
net371,330.48
_02180_,329.39
clknet_4_5__leaf_clk,329.34
net339,329.08
net445,326.72
net467,326.24
net152,322.68
net462,322.44
clknet_4_13__leaf_clk,320.78
net221,320.6
clknet_4_1__leaf_clk,318.27
clknet_4_11__leaf_clk,317.33
net457,317.26
net495,316.86
net246,316.615
net437,314.74
net212,314.3
net102,312.4
net348,310.3
net114,310.16
net367,308.62
net460,308.6
net452,308.12
net229,307.49
net262,306.86
net100,305.7
clknet_2_1_0_clk,304.7
_03956_,303.42
_02132_,303.3
net373,302.66
clknet_2_3_0_clk,302.35
_07142_,301.24
_08751_,301.24
net490,300.82
net291,299.33
net2,297.94
_08735_,297.66
net306,296.675
net466,295.52
net162,295.18
net228,294.94
net224,294.14
net281,293.8
net260,293.04
_01789_,290.49
net507,289.7
net350,289.16
net74,287.8
net268,287.4
net295,286.98
net47,286.58
net562,285.65
net110,285.42
net30,284.41
_01791_,283.86
net19,283.62
_01793_,282.9
net555,282.71
net480,282.33
net499,282.26
net95,282.18
net315,281.84
net341,281.6
net338,281.46
net501,280.86
net130,280.74
net478,280.62
net447,279.48
net318,279.02
clknet_2_0_0_clk,278.47
_01753_,277.36
_01797_,275.38
clknet_2_2_0_clk,275.21
net395,273.58
net87,270.94
clknet_4_0__leaf_clk,270.89
net210,270.34
_03960_,269.82
net491,269.44
net98,269.2
_02239_,268.33
net203,267.38
net325,266.6
net219,266.14
_02166_,266.1
net416,266.02
clknet_4_10__leaf_clk,265.86
net63,264.8
net84,264.8
net255,264.52
arr.b23\[7\],263.76
_03961_,263.66
_02160_,263.27
_01795_,261.94
net423,261.91
net402,260.48
net250,260.16
net231,259.18
arr.b23\[1\],258.5
_01785_,258.4
net370,258.14
arr.b01\[0\],257.44
net284,257.04
clknet_4_14__leaf_clk,256.91
net369,256.28
net73,255.52
net206,254.66
net275,254.62
net292,254.02
net360,253.86
arr.b23\[6\],253.17
_01765_,252.81
net396,252.23
_02201_,251.64
net329,251.64
arr.b23\[2\],251.22
arr.b01\[7\],250.08
arr.b11\[2\],249.58
net151,249.36
arr.b23\[5\],249.16
_05933_,248.18
net517,247.14
clknet_4_8__leaf_clk,246.83
_02174_,246.23
_02089_,246.22
net503,245.16
clknet_4_6__leaf_clk,244.16
net105,242.42
net433,240.7
net188,240.18
_08750_,240.02
net175,239.62
net435,238.82
net314,238.7
net468,238.06
net147,237.38
net511,235.84
_02268_,235.25
_01771_,234.84
arr.a20\[5\],233.12
net257,233.1
_01773_,232.16
net51,232
_01778_,231.06
net194,230.6
net298,230.56
net379,230.36
net300,230.34
net536,230.2
arr.b00\[7\],229.92
_05937_,229.19
_02157_,227.02
_01763_,226.78
arr.a10\[3\],226.68
net32,225.9
net271,224.08
net331,223.74
net527,223.62
net405,223.455
_02778_,223.12
net414,222.54
net508,220.85
clknet_4_9__leaf_clk,220.24
arr.b00\[6\],219.56
arr.b01\[2\],219.42
_01769_,219.16
net159,219.14
net263,219.06
_02106_,219.02
_02153_,218.95
_01850_,217.74
net546,216.92
_01940_,216.165
_02170_,214.8
_02112_,214.34
arr.b01\[6\],213.72
_02258_,213.46
net535,212.11
_01767_,211.97
_02163_,211.9
arr.b23\[4\],210.46
net529,209.94
_02140_,209.18
arr.a20\[4\],209.06
_02168_,208.55
arr.a11\[1\],207.94
arr.a10\[7\],206.46
net214,205.98
_01420_,205.6
arr.a11\[6\],205.42
arr.a10\[6\],204.24
arr.a10\[0\],204.235
arr.a20\[6\],204.18
net327,203.74
net42,203.58
_02176_,203.06
arr.b23\[3\],202.62
net523,201.36
_02151_,201.135
arr.a20\[2\],200.38
arr.a10\[2\],200.14
arr.b00\[5\],199.3
